GeneID	Name	49	50	51	SHAU	SHAU146	SHAU148	SHAU152	SHAU153	SHAU155	SHAU156	SHAU157	SHAU158	SHAU52	SHAU53	SHAU55	SHAU56	SHAU57	SHAU58	SHAU59	SHAU61	SHAU63	SHAU64	SHAU65	SHBX35	SHBX36	SHBX37	SHBX38	SHCE175	SHCE176	SHCE177	SHCE178	SHCE179	SHCE180	SHCE181	SHCE182	SHCE183	SHCE184	SHCE185	SHCE186	SHCE187	SHCE188	SHCE189	SHCE190	SHCE191	SHCE192	SHCE194	SHCE195	SHCE196	SHCE197	SHCE198
23646	"PLD3 || Phospholipase D family, member 3"	0.411	0.82	1.27	-0.41	-0.429	-0.773	-2.363	-1.843	-0.664	-0.892	-0.774	2.764	0.184	0.654	1.296	-1.224	1.834	0.202	-0.247	-2.15	-1.965	-0.539	-2.155	0.75	0.902	-0.704	0.165	-0.585	0.026	2.325	-1.336	-0.138	-0.122	1.119	0.92	-0.262	-0.214	-0.402	0.773	-0.477	0.556	-0.847	0.303	-0.628	0.638	0.902	1.069	1.03	1.923	1.542
79469	DLEU2L || Deleted in lymphocytic leukemia 2-like	-1.403	0.045	0.127	1.014	-0.101	0.115	1.633	1.005	0.094	0.799	0.038	-0.914	-0.17	-1.055	-0.75	-0.549	-0.86	-0.171	-0.312	2.342	1.946	1.277	1.914	1.23	-1.436	0.625	-0.865	0.046	-0.716	-2.074	1.974	1.425	-4.541	-2.109	-0.778	0.107	0.952	0.35	-2.523	0.308	-1.772	0.631	-2.099	0.391	-3.828	1.045	-2.634	0.274	-1.816	-0.083
1017	CDK2 || Cyclin-dependent kinase 2	-1.265	4.177	2.774	2.753	-1.202	0.15	1.861	2.747	0.957	3.198	-0.155	-1.038	-1.871	-0.537	-0.781	-0.975	-1.762	-0.437	-1.756	2.773	2.786	3.257	3.001	1.799	-1.689	-0.46	-1.408	0.305	0.808	-1.241	2.285	2.598	-1.279	-1.211	-0.659	0.683	1.973	2.558	-1.503	0.961	-0.855	0.54	-0.675	0.607	0.287	1.524	-1.573	1.211	-2.097	-1.248
219844	HYLS1 || Hydrolethalus syndrome 1	-1.068	1.276	0.432	0.974	-0.023	0.358	1.652	1.495	0.957	1.918	-0.639	-0.559	-1.075	-2.385	-2.002	-1.313	-2.199	-1.9	-0.993	3.264	2.196	0.786	2.177	1.159	-0.811	0.701	-0.093	-0.423	-0.104	-1.212	1.48	1.961	-0.59	-0.408	-0.374	0.692	1.598	1.113	-0.451	1.027	-0.896	0.673	-0.149	1.387	-0.646	0.87	-0.783	0.521	-1.442	-0.506
7372	UMPS || Uridine monophosphate synthetase	-0.397	1.681	0.47	1.429	-1.009	-0.303	1.366	1.64	0.617	1.621	-0.407	-0.636	-0.656	-0.555	-0.323	-0.514	-0.423	-0.57	-0.733	2.362	2.071	1.874	2.212	0.572	-1.063	-0.765	-0.736	0.03	0.599	0.162	1.352	1.309	-0.707	-0.534	-0.944	0.334	0.861	1.286	-0.053	0.516	-1.216	0.257	-0.315	1.315	-1.145	1.413	0.296	0.504	-0.564	-1.018
23710	GABARAPL1 || GABA(A) receptor-associated protein like 1	0.845	1.579	1.822	0.539	-0.7	-0.059	-0.708	-2.46	-2.103	-2.262	-0.213	0.106	-0.788	2.536	3.433	0.462	1.804	2.609	-0.117	-3.582	-2.715	-1.275	-3.155	-0.885	1.132	0.319	1.097	-1	0.43	0.791	-2.251	-0.153	1.048	0.379	0.967	0.465	-0.298	-0.338	0.689	-0.071	0.268	0.025	0.303	0.104	0.647	-1.717	1.14	0.619	2.185	-0.383
3151	HMGN2 || High-mobility group nucleosomal binding domain 2	-0.96	0.7275	1.1745	0.7965	-0.9125	-0.564	2.099	1.6765	0.879	-0.0575	-0.0585	-0.1025	-1.3185	-0.426	-0.5095	-0.7685	-0.7015	-0.583	2.2025	1.381	0.116	1.0725	1.729	1.31	-2.055	0.9295	-1.6295	0.8305	-0.553	-0.9995	1.645	0.969	-1.9615	-1.7625	-0.7185	0.1135	0.6865	0.87	-2.013	0.133	-1.043	0.3155	-1.522	1.1035	-0.048	1.4045	-1.133	-0.096	-1.7045	-0.7185
348094	ANKDD1A || Ankyrin repeat and death domain containing 1A	1.516	-1.322	0.393	-1.122	0.672	0.811	-1.069	-2.007	-1.083	-0.412	2.98	1.249	0.957	-0.745	0.044	0.871	-0.077	-0.064	0.126	-1.385	-0.822	-1.488	-1.594	0.679	1.89	1.144	3.41	0.887	-0.686	-0.086	-1.611	-0.806	0.125	1.733	2.296	-0.441	-1.173	-1.28	0.795	-1.471	0.524	-0.457	2.122	-1.623	0.55	-1.653	-0.082	-1.897	-0.881	0.447
56647	BCCIP || BRCA2 and CDKN1A interacting protein	-1.127	0.179	0.432	0.519	-1.009	-0.355	0.624	0.57	0.068	0.845	-0.929	-0.806	-1.274	-0.365	-0.079	-0.691	-0.528	-0.158	-1.025	0.969	1.232	0.983	1.072	0.679	-1.449	0.258	-1.15	-0.196	-0.13	-0.802	1.736	0.875	-1.539	0.064	-0.457	0.119	1.15	0.858	-0.698	0.488	-2.135	0.282	-1.164	1.015	-0.785	1.189	-0.279	0.29	-0.601	-0.912
55062	"WIPI1 || WD repeat domain, phosphoinositide interacting 1"	2.64	-1.001	0.47	-0.825	1.349	0.602	-0.194	-0.773	0.277	-0.73	1.412	1.651	1.421	1.448	0.441	1.74	-0.152	-0.237	0.029	-1.64	-0.876	-1.57	-1.646	0.341	2.462	-0.032	-1.022	-0.876	-0.664	1.477	-1.227	-0.732	0.541	0.804	1.465	0.465	-0.891	-1.246	1.31	-0.402	1.485	-0.34	1.835	-0.628	1.534	-0.775	1.158	-0.828	0.97	0.447
51728	"POLR3K || Polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa"	-0.437	1.95	1.079	1.488	-1.569	-0.721	0.662	1.259	-0.691	2.147	-1.413	-0.899	-0.634	-1.038	-1.025	-0.94	-1.356	-0.812	-0.944	1.361	1.607	1.67	2.124	1.745	-0.864	-0.292	-0.707	0.774	1.927	-0.086	1.919	1.845	-0.226	-0.377	-1.003	0.728	1.338	1.171	-0.88	0.298	0.204	1.254	-0.304	1.279	-5.357	1.413	-0.459	0.586	0.689	-0.188
55839	CENPN || Centromere protein N	-2.3295	1.8235	-0.273	1.508	-1.5985	0.202	2.3655	2.928	0.578	1.4845	-1.2775	-1.192	-2.0585	-2.4715	-2.9415	-1.5255	-2.808	-2.3385	-1.293	2.9695	2.223	1.711	3.115	0.918	-2.135	0.289	-1.6425	0.976	0.2415	-2.278	1.6445	1.671	-0.3235	-1.334	-2.2375	0.382	1.395	0.716	-4.017	1.652	-0.9495	0.8385	-1.871	1.2455	0.525	0.255	-2.382	0.4055	-3.078	-2.3955
220134	C18orf24 || Chromosome 18 open reading frame 24	-1.896	2.524	1.193	2.576	-1.241	0.219	2.622	4.09	1.873	3.518	-0.233	-0.945	-0.28	-2.437	-2.308	-1.881	-1.943	-2.179	-1.853	4.401	3.357	2.865	4	2.278	-0.372	1.205	-1.665	1.308	-0.104	-3.257	3.437	2.916	-1.721	-0.77	-1.988	0.239	1.89	1.795	-3.504	0.847	-1.611	1.021	-2.313	1.482	-1.602	1.812	-1.825	1.03	-2.695	-1.76
56675	NRIP3 || Nuclear receptor interacting protein 3	-0.949	2.271	0.622	1.785	-0.236	-0.176	1.138	2.003	1.742	1.576	0.251	-0.945	0.301	0.153	-0.888	0.216	-0.182	-0.51	-0.717	1.538	3.25	3.437	0.125	1.958	-1.063	-0.338	-0.707	-0.52	0.274	-1.299	1.754	1.367	-1.084	-1.258	-1.917	-0.644	0.661	0.301	-1.449	0.147	-0.519	-0.108	0	0.739	0.139	2.243	-0.279	1.869	-1.872	-2.537
55055	"ZWILCH || Zwilch, kinetochore associated, homolog (Drosophila)"	-2.369	1.208	1.346	1.666	-1.666	-0.477	2.032	2.801	0.042	1.873	-1.568	-1.826	-1.871	-1.798	-1.896	-2.076	-1.928	-1.887	-1.561	2.872	2.536	1.637	2.615	0.787	-1.396	0.9	-0.807	0.046	0.052	-1.27	1.096	1.57	-1.175	-1.762	-1.229	0.286	1.254	0.928	-2.147	0.516	-1.366	0.614	-1.439	1.063	-1.921	1.365	-1.034	0.866	-2.059	-1.477
27020	NPTN || Neuroplastin	-1.442	0.146	-0.54	-0.153	-0.951	0.15	1.766	1.513	-0.429	2.33	-0.058	-1.192	0.14	-0.468	-0.185	-0.514	-0.89	-0.596	-0.441	0.557	1.661	0.083	0.125	1.088	-0.851	1.19	-0.15	-0.552	0.521	-0.466	0.657	0.759	-1.409	-1.164	-0.374	0.609	0.483	0.743	-0.3	0.904	0.001	0.39	-0.193	1.47	-0.083	1.429	1.015	1.146	-0.171	-0.859
7170	TPM3 || Tropomyosin 3	-0.693	1.461	1.193	0.737	-1.183	0.028	1.5	1.023	1.376	1.553	-1.084	-0.389	-0.148	-1.366	-1.483	-0.372	-1.476	-1.82	-0.896	1.4	1.214	1.31	0.704	1.034	-0.598	0.35	-0.993	0.012	0.091	-0.7	1.169	1.266	-0.98	0.221	-0.588	0.644	0.709	1.309	0.022	0.592	-0.138	0.257	-0.656	1.303	-0.147	1.429	-0.387	0.299	-0.863	-1.548
3554	"IL1R1 || Interleukin 1 receptor, type I"	3.6355	-1.1445	0.689	-2.318	1.812	1.5855	1.271	-2.705	1.886	1.587	1.3835	1.6355	-0.026	1.5865	2.624	1.616	1.503	2.363	-1.196	-0.512	0.0795	-2.028	-0.7345	1.1855	1.3715	0.5025	0.272	-3.2045	-2.4145	-1.65	-0.5685	-0.1455	0.8335	-0.322	2.5635	-0.024	-0.6675	-2.367	0.3865	-0.4775	-0.6025	0.216	0.887	-0.25	0.518	-2.907	-4.4395	-3.6815	-3.256	0.659
1915	EEF1A1 || Eukaryotic translation elongation factor 1 alpha 1	1.634	-0.698	-0.235	-0.509	1.001	0.741	-1.697	-1.227	-0.978	-1.668	-0.02	0.152	0.316	0.792	-0.094	1.226	0.359	0.268	-0.62	-2.444	-0.929	-0.752	-1.243	-1.027	1.238	1.098	0.808	-1.054	-0.911	0.761	-1.794	-1.007	0.047	1.024	0.848	-0.322	-0.579	-1.893	0.58	0.45	1.015	-0.382	1.361	-1.587	0.555	-0.887	1.59	-1.848	0.334	0.235
5364	PLXNB1 || Plexin B1	0.155	0.331	0.927	-0.272	0.923	0.585	-0.765	-2.406	0.251	-2.582	-0.078	0.338	-0.126	0.378	0.792	0.782	1.292	0.508	-0.133	-1.797	-1.751	-0.588	-1.962	-0.192	1.079	-0.414	-0.221	0.596	-0.989	-0.685	-0.111	0.122	1.815	1.827	1.56	-0.179	0.317	-0.448	1.342	0.024	0.866	-0.399	1.328	-1.371	0.703	-0.44	-1.178	-0.368	-0.264	-0.118
3422	IDI1 || Isopentenyl-diphosphate delta isomerase 1	-0.022	-0.731	-0.692	-0.41	-0.545	0.097	-0.784	-1.081	-1.161	-1.303	-0.697	1.188	0.846	0.378	-0.109	0.835	-0.303	0.002	1.26	-0.326	-0.697	-1.292	-0.77	-0.032	2.502	0.228	1.866	0.483	-0.586	0.411	-1.026	-0.211	1.698	2.173	-0.018	0.286	0.306	-0.957	1.665	-0.042	1.976	-0.241	2.299	1.087	1.978	0.55	2.794	0.109	2.503	-0.224
54800	KLHL24 || Kelch-like 24 (Drosophila)	0.508	-0.208	0.984	1.666	2.122	1.438	-0.118	-0.954	1.114	-0.732	1.606	1.62	1.266	3.106	3.418	1.74	3.323	3.061	1.587	-2.052	-0.375	-0.195	-1.576	-0.636	1.478	-0.658	1.623	-0.288	-0.234	1.813	-1.336	-2.24	-0.876	0.064	0.815	-1.122	-1.277	-0.055	0.483	-0.742	0.289	-2.483	-0.326	0.487	0.292	-2.037	1.212	-0.696	1.717	0.147
201562	"PTPLB || Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b"	-1.1465	0.4915	-0.1495	0.5195	-1.7625	-0.7465	1.157	1.023	-0.6515	1.61	-1.026	-0.3965	-1.009	-1.28	-0.689	-0.7805	-2.1385	-1.5805	-0.9445	1.577	0.9725	0.6805	1.352	0.439	-1.0035	1.022	-0.164	0.095	0.078	-1.102	1.242	0.7595	-0.811	-0.8335	-0.2375	1.342	1.004	0.2575	-0.3325	1.0745	-0.501	0.4025	-0.408	0.709	-0.595	0.702	0.206	1.088	0.1465	-0.2505
7371	UCK2 || Uridine-cytidine kinase 2	-1.462	0.871	0.812	0.935	-1.222	-0.181	0.358	-0.084	1.062	1.37	-0.058	-1.362	-0.081	-1.159	-1.85	-1.863	-1.687	-2.02	-2.259	0.341	0.91	0.688	-0.068	0.537	-0.837	-0.338	-0.807	-0.116	1.159	-1.475	1.443	1.237	0.502	0.804	-1.134	0.859	1.067	1.876	-0.794	0.034	0.065	1.013	-0.116	0.703	-0.036	0.878	-0.477	0.915	0.521	-0.948
56902	PNO1 || Partner of NOB1 homolog (S. cerevisiae)	-0.535	0.938	0.755	0.163	-0.874	-0.077	1.1	0.461	0.146	0.525	-1.568	-0.589	-0.634	-0.572	-0.598	-1.366	-1.522	-1.182	-0.604	0.93	1.035	1.441	0.23	1.088	-0.398	1.282	0.479	-0.229	0.235	-0.101	1.261	1.092	-1.071	-0.298	-0.445	0.251	0.838	0.986	-0.354	0.043	-0.287	0.108	-0.381	0.104	-0.083	0.726	0.457	0.619	-0.264	0.094
92482	LOC92482 || Hypothetical LOC92482	0.254	-2.013	-0.806	-0.904	1.6	0.15	1.366	-0.156	-0.664	-2.377	0.967	-0.049	0.714	0.568	0.288	1.918	1.127	0.188	0.613	-1.62	-1.84	-1.243	-1.874	-1.809	0.334	0.273	0.293	-1.134	0.209	0.761	-2.617	-3.352	-0.551	0.363	0.207	-1.146	-1.673	-6.228	0.43	-1.121	1.176	-1.536	0.512	-5.076	-0.461	-1.366	0.997	-1.14	0.371	0.435
7167	TPI1 || Triosephosphate isomerase 1	-1.265	0.938	0.622	0.104	-2.304	-1.347	0.815	0.425	-1.24	0.228	-1.2	-1.764	-2.268	-1.625	-2.018	-2.732	-1.702	-2.006	-1.95	0.498	0.678	0.59	0.949	0.75	-1.037	0.258	-1.408	0.353	0.43	-0.422	1.151	1.208	-0.98	-0.55	-0.54	0.931	0.671	0.662	-0.322	0.857	-0.469	0.266	-0.877	1.087	-0.304	1.093	-0.279	0.767	-0.564	-0.524
3177	"SLC29A2 || Solute carrier family 29 (nucleoside transporters), member 2"	1.161	-0.596	0.374	-1.557	1.271	0.186	-1.298	-1.68	-0.659	-1.006	1.18	1.605	1.112	0.447	0.578	1.03	0.299	-0.184	0.646	-2.013	-1.608	-1.832	-2.523	-2.254	0.759	-0.521	0.179	-0.439	-0.026	1.273	-1.592	-0.819	0.658	0.788	0.362	-0.955	-1.277	-0.084	0.902	-0.674	1.891	-1.843	0.832	-0.04	-0.004	-0.504	-0.054	-0.359	1.68	0.535
376497	"SLC27A1 || Solute carrier family 27 (fatty acid transporter), member 1"	0.313	-2.165	-1.606	-2.229	2.257	0.463	-2.877	-1.281	0.853	-0.389	1.257	-0.528	1.686	-0.33	-0.338	1.669	0.299	-0.011	1.684	-3.072	-1.118	-2.339	-2.839	-0.263	1.717	0.197	0.665	0.046	0.248	0.907	-2.214	-1.065	0.346	0.064	0.706	0.298	-2.027	-1.471	0.559	-0.705	1.635	-1.005	1.328	-2.151	0.499	-1.494	-1.124	-1.321	0.072	0.631
9521	EEF1E1 || Eukaryotic translation elongation factor 1 epsilon 1	-0.437	1.731	0.622	0.875	-1.995	-1.434	0.777	1.241	-0.638	1.895	-2.11	0.434	-1.363	-0.002	-1.605	-0.816	-1.266	-1.195	-0.717	1.479	1.518	2.096	1.247	0.857	-0.751	0.319	-0.607	-0.083	0.768	-0.086	1.352	1.439	-0.863	-0.393	-0.564	0.477	1.035	0.905	-0.386	-0.08	-2.519	0.224	-0.8	0.787	-0.591	1.317	0.637	0.553	-0.358	-0.418
113791	PIK3IP1 || Phosphoinositide-3-kinase interacting protein 1	1.752	-1.22	0.032	0.519	1.155	1.925	0.567	-1.535	-1.214	1.004	2.167	2.192	1.796	2.104	2.334	2.006	1.623	1.705	1.262	-1.248	-0.661	-0.719	-2.243	-1.241	2.569	-0.46	2.867	-1.83	-1.796	0.82	-1.373	-0.531	-0.59	0.394	0.314	-0.525	-1.766	-0.265	1.246	0.232	-0.533	-0.606	0.711	-0.367	0.13	-2.691	-0.818	-1.042	0.166	-0.789
7586	ZKSCAN1 || Zinc finger with KRAB and SCAN domains 1	1.161	-0.343	0.565	-0.232	1.194	0.08	-0.004	-0.192	-0.298	-1.189	0.135	1.018	0.427	1.742	1.387	0.622	1.683	1.744	1.944	-0.816	-1.376	-0.163	-0.436	-0.565	0.453	-0.231	1.023	-0.52	-0.599	0.571	-1.08	-0.196	0.268	0.646	0.753	-0.036	-0.183	-0.945	0.526	-1.632	-0.234	-0.83	0.027	-0.916	-0.212	0.023	0.368	-0.055	0.745	0.147
6307	SC4MOL || Sterol-C4-methyl oxidase-like	2.324	-0.832	0.241	-0.034	0.382	2.238	0.13	-0.555	-0.115	-2.491	1.374	1.327	3.144	1.466	-1.437	2.61	-1.431	-2.312	0.386	-1.738	-0.768	-0.244	-0.436	-0.299	2.622	1.053	2.938	-0.18	-1.093	-0.086	-1.812	-0.848	1.815	2.284	-0.434	0.227	-0.433	-1.65	1.482	0.034	1.838	-0.424	2.354	0.319	2.329	-0.44	3.081	-1.025	3.064	0.129
3575	IL7R || Interleukin 7 receptor	-5.0115	2.0175	0.9555	2.1505	-1.3665	0.7585	1.9945	4.9425	-0.9785	1.0045	1.7415	-2.8995	-1.9145	0.2135	-1.0405	-3.478	-2.793	-1.8265	-1.001	6.4315	1.884	2.153	3.667	0.6165	-0.7145	1.3275	0.3235	3.0865	-0.164	-1.236	-0.1165	0.2235	-2.514	-1.416	-0.9005	0.364	1.28	1.179	-1.2295	-0.7425	-1.1095	-0.847	-1.43	0.5955	-0.8215	0.9495	-0.549	1.869	-0.479	1.745
4331	"MNAT1 || Menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)"	-0.634	0.331	0.489	0.401	-1.627	-0.912	0.32	0.388	-0.115	0.022	-1.297	-0.528	-0.877	0.153	-0.063	-0.603	0.028	-0.291	-0.312	1.145	0.553	0.312	0.914	-0.139	-1.21	0.289	-1.336	-0.358	-0.052	-0.437	0.584	0.976	-0.889	-0.109	-0.315	0.334	0.775	0.905	0.054	0.09	-0.917	-0.141	-1.197	0.439	-0.507	0.439	-0.154	0.175	-0.638	-0.648
9860	LRIG2 || Leucine-rich repeats and immunoglobulin-like domains 2	1.062	-0.546	-0.064	-0.608	0.092	-0.077	-0.327	-0.791	0.173	-1.92	0.503	0.94	-0.302	0.879	1.326	1.101	1.157	1.319	0.516	-1.306	-1.536	-0.883	-0.998	-1.187	1.065	-1.346	0.036	-0.407	-0.755	0.484	-0.843	-0.558	0.359	0.741	0.872	-0.847	-0.412	-0.91	0.666	0.412	0.578	-0.498	0.865	-0.568	-0.083	-0.088	0.278	-1.091	-0.115	0.535
51279	"C1RL || Complement component 1, r subcomponent-like"	1.673	-1.608	0.908	0.42	1.213	1.194	-0.118	-0.973	0.826	-2.308	2.051	0.909	-1.252	1.276	1.784	1.137	1.518	1.731	1.051	-1.797	-2.001	-1.308	-1.418	-1.169	1.265	0.869	0.479	-0.58	-0.266	-0.379	-1.336	-0.196	1.555	1.26	2.344	-0.286	-0.631	-0.483	0.741	-0.496	-0.8	-0.581	0.821	-1.527	0.555	-1.701	-1.34	-0.992	-0.264	2.425
219654	C10orf56 || Chromosome 10 open reading frame 56	1.614	-1.052	-0.254	-0.825	1.039	1.438	0.015	-1.807	0.826	-1.371	0.696	0.585	-0.207	-0.278	0.15	0.551	0.796	0.481	0.159	-2.385	-1.447	-1.766	-1.909	1.177	0.626	0.411	1.537	-0.827	-1.067	0.484	-1.245	-0.298	0.216	0.631	1.525	0.489	0.098	-0.147	1.128	-0.449	-0.661	0.39	1.008	-0.352	0.195	-1.653	-1.627	-1.831	-0.264	0.324
9688	NUP93 || Nucleoporin 93kDa	-0.555	1.866	0.984	1.745	-1.318	-0.146	1.557	2.221	0.513	1.895	-0.658	-0.883	-0.346	0.101	-0.414	-0.603	-0.438	-0.543	-1.025	1.714	2.036	1.539	1.878	0.945	-0.824	-0.338	-0.278	-0.277	0.508	-0.452	1.992	1.526	-1.422	-0.66	-0.528	0.561	0.869	0.627	-0.966	0.431	-0.405	0.174	-0.998	1.315	-1.367	1.572	0.332	0.734	-0.264	-0.789
90861	HN1L || Hematological and neurological expressed 1-like	-1.649	1.124	-0.321	0.7465	-0.41	-0.1115	0.9385	1.3225	0.46	1.7125	-1.1515	-0.829	-0.578	-1.366	-1.514	-0.6735	-1.281	-1.4475	-0.49	1.165	0.875	1.228	1.168	1.363	-0.7575	-0.299	-1.0215	-0.059	0.762	-1.7595	0.8765	1.389	-0.59	-0.2825	-0.665	0.024	1.202	0.6095	-0.5685	0.9895	-0.2465	0.706	-0.6785	1.177	-0.8495	1.6205	-0.2885	0.932	-1.461	-0.5595
5427	"POLE2 || Polymerase (DNA directed), epsilon 2 (p59 subunit)"	-1.664	1.997	0.312	2.729	0.01	1.05	1.114	3.305	1.003	3.558	0.537	-0.98	-1.125	-0.956	-0.953	-0.802	-1.194	-0.44	-1.338	3.141	3.246	2.582	3.487	0.639	-2.464	-0.311	-1.74	-1.349	1.572	-2.837	2.426	0.987	-1.828	-2.585	-4.199	-1.244	1.106	0.74	-3.048	-0.186	0.353	0.297	-2.408	0.892	1.121	0.977	-2.045	-0.651	-2.363	-0.599
5865	"RAB3B || RAB3B, member RAS oncogene family"	-2.093	0.416	-1.778	0.282	0.576	0.045	0.624	1.314	2.082	2.215	0.445	-0.095	-0.081	-2.471	-2.048	-0.39	-2.214	-2.831	-1.204	3.028	2.268	0.901	2.036	0.235	-0.824	2.03	1.652	-0.52	0.026	-1.796	0.858	1.874	-0.421	2.331	-1.253	0.179	1.598	1.829	-0.032	-1.424	-0.396	-0.249	-2.31	1.806	0.73	-0.216	-1.394	0.915	-1.536	-1.689
5708	"PSMD2 || Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"	-1.363	1.714	0.793	1.528	-1.086	-0.216	1.747	1.168	0.853	2.581	-1.703	-1.068	-1.23	-0.641	-1.025	-1.49	-0.769	-1.355	-1.528	1.4	1.964	1.457	1.387	1.763	-0.718	0.396	-0.936	-0.245	1.433	-0.495	2.852	1.917	-0.031	0.064	-0.386	1.014	1.254	1.205	-0.386	0.98	-0.149	0.706	-0.491	1.578	-0.258	1.876	-0.189	1.59	-0.526	-0.895
80232	WDR26 || WD repeat domain 26	0.53	-1.271	-0.178	-1.221	-0.081	0.602	-2.668	-0.465	-1.057	-1.965	0.174	-0.234	1.089	0.62	0.7	1.456	1.082	0.614	0.402	-2.032	-0.876	-0.85	-1.19	-1.205	0.094	0.869	1.065	-0.876	-0.26	0.922	-1.227	-0.602	-0.005	0.253	0.872	-0.251	-0.496	-0.575	0.977	-0.165	0.396	-0.656	0.402	-0.402	0.185	0.119	0.691	-0.104	0.147	0.5
22948	"CCT5 || Chaperonin containing TCP1, subunit 5 (epsilon)"	-0.91	1.36	0.66	0.737	-0.758	-0.86	0.91	2.148	0.513	1.439	-1.916	-1.269	-0.479	-0.9	-1.804	0.019	-2.123	-1.98	-0.815	1.832	1.339	2.014	2.071	0.768	-0.531	-0.674	-1.022	0.046	-0.078	-1.036	1.718	1.367	-0.356	-0.204	-0.41	0.99	1.577	0.789	-0.44	0.999	-0.48	0.324	-0.248	1.267	0.342	1.253	-0.082	0.109	-1.106	-1.177
9601	"PDIA4 || Protein disulfide isomerase family A, member 4"	-0.792	0.972	1.765	0.005	-1.608	-0.46	-0.327	0.443	0.565	1.37	-1.219	-0.344	-1.341	0.084	0.089	-1.863	-0.739	-1.062	-1.496	0.008	0.214	0.034	-0.208	0.821	-0.704	0.136	-1.365	0.871	-0.052	0.367	0.895	0.759	-1.123	-1.022	-1.003	0.107	-0.079	0.535	-1.17	0.781	-0.618	0.482	-1.307	0.967	-0.064	1.636	0.116	0.455	0.633	-0.171
256302	MGC33894 || Transcript expressed during hematopoiesis 2	1.397	-1.121	-1.34	-0.924	0.17	0.324	-0.27	-2.17	-1.554	-1.897	1.47	0.399	1.885	1.293	1.051	1.705	1.744	1.505	0.078	-1.267	-2.376	-1.325	-1.173	-0.832	1.504	-0.628	0.865	-2.412	-1.328	0.352	-2.873	-3.12	0.801	0.536	0.314	-0.537	-1.214	-0.826	0.704	-1.132	0.458	-1.877	1.13	-1.485	0.684	-1.19	0.457	-0.203	1.998	0.465
2115	ETV1 || Ets variant gene 1	4.04	0.517	0.222	-0.37	-0.932	0.881	0.225	0.588	-0.848	-1.234	0.174	3.042	2.879	0.533	1.204	2.344	0.826	0.747	3.063	0.616	-0.518	0.034	-0.296	-1.738	1.491	-0.781	1.351	-0.407	-1.849	-0.174	-1.483	-0.185	-0.083	-0.361	0.314	-2.637	-2.954	-0.211	1.128	-0.017	0.383	-2.209	0.865	-0.346	0.924	-2.308	-1.573	-2.226	-2.433	0.465
83648	C8orf13 || Chromosome 8 open reading frame 13	0.471	-1.052	-0.845	0.539	-0.023	2.273	2.813	3.454	1.637	-0.709	-0.349	-0.296	-0.346	-1.366	-1.804	-1.313	-1.446	-0.969	0.727	3.166	1.625	0.345	4.123	-0.156	-1.875	0.854	0.393	1.291	-0.26	-1.372	2.907	2.511	-1.617	0.914	-2.843	-0.334	2.379	1.633	-1.75	0.291	-0.394	0.213	-0.24	-0.724	-0.115	-0.424	-0.207	0.405	0.296	2.213
348235	"FAM33A || Family with sequence similarity 33, member A"	-2.014	-0.057	0.546	0.677	-1.569	-0.32	1.956	0.769	-0.181	0.228	-0.562	-0.62	-0.567	-1.47	-0.781	-0.443	-1.266	-0.517	-0.295	1.695	0.75	0.999	1.212	1.336	-1.196	1.816	-0.521	0.113	0.013	-1.46	1.462	1.411	-0.304	-0.251	-0.325	0.788	1.317	0.512	-0.29	0.393	-0.227	0.606	-1.516	0.691	-0.594	1.045	-0.747	0.997	-1.816	-0.206
25816	"TNFAIP8 || Tumor necrosis factor, alpha-induced protein 8"	-0.456	-0.647	0.946	0.005	1.407	-0.86	-1.107	-0.356	-0.011	-1.326	1.935	-0.018	1.31	1.828	0.517	1.243	0.57	-0.078	0.646	-0.541	-2.34	-0.441	-0.489	-0.565	1.331	0.976	1.637	-0.423	-1.64	0.337	-1.099	0.137	1.542	2.394	0.86	-1.05	-0.287	-0.182	1.611	-1.471	0.097	-0.673	1.35	-1.815	1.756	-0.983	0.565	-1.683	-0.264	1.559
51478	HSD17B7 || Hydroxysteroid (17-beta) dehydrogenase 7	2.344	-0.293	0.07	0.065	1.387	2.116	0.301	0.824	-0.22	-1.509	1.509	2.13	2.945	1.897	-0.659	2.77	-0.98	-1.381	1.7	-0.796	-1.108	0.459	-0.401	-0.654	2.516	-0.796	1.637	-0.488	-0.898	-0.583	-0.861	-0.066	1.139	1.292	-0.588	-1.599	-1.121	-0.841	1.536	-0.563	1.806	-1.121	1.913	-0.88	1.318	-1.749	0.457	-0.57	0.689	-0.224
55752	40067 || Septin 11	0.431	-1.423	-0.997	-1.359	-0.99	0.184	0.377	-0.9	-3.071	-1.28	-0.058	0.106	2.15	-0.762	-0.399	0.711	-0.513	-0.836	1.927	-1.189	-0.768	-0.899	-1.313	-0.352	0.839	2.703	2.824	-0.859	0.625	1.886	-2.324	-0.167	-0.304	1.087	0.777	1.229	0.39	0.072	1.16	0.005	0.567	-0.465	0.601	0.056	0.49	1.285	3.62	1.294	2.147	2.46
