CLID	Name	BC711B-BE	BC711A-AF	BC213B-BE	BC605B-BE	BC14	BC114A-BE	BC709B-BE	BC206B-AF	BC35-0	BC206A-BE	BC305B-AF	BC305A-BE	BC16	BC-A	BC713A-BE	BC120B-AF	BC120A-BE	BC790	BC119B-AF	BC119A-BE	BC205B-AF	BC-HBC5	BC23	BC208B-AF	BC208A-BE	BC606B-AF	BC404B-BE	BC404A-AF	BC805B-AF	BC805A-BE	BC115B-BE	BC214B-BE	BC214A-AF	BC111B-BE	BC2	BC123B-BE	BC123A-AF	BC107B-BE	BC107A-AF	BC309A-BE	BC111A-BE	BC706B-AF	BC706A-BE	BC303B-BE	BC303A-AF	BC121A-AF	BC807A-BE	BC-HBC3	BC110B-BE	BC112B-BE	BC112A-AF	BC808A-BE	BC808A-AF	BC708A-AF	BC-HBC4-T1	BC115A-AF	BC702B-BE	BC708B-BE	BC17	BC121B-BE	BC4-LN4	BC31-0	BC118B-BE	BC118A-AF	BC124B-AF	BC124A-BE	BC702A-AF	BC704B-AF	BC608B-BE	BC608A-AF	BC503B-BE	BC108A-BE	BC106B-BE	BC106A-AF	BC201B-BE	BC405A-BE	BC108B-AF	BC405B-AF	BC210B-AF	BC125A-BE	BC125B-AF	BC-HBC2	BC104B-AF	BC104A-BE	BC117A-BE	BC710B-AF	BC610A-BE	BC40	BC24	BC38	BC1257-MET	BC116A-BE	BC710A-BE	BC308B-BE	BC110A-AF
23048	IMAGE:84695 || formin binding protein 1 T73844 	0.876	0.194	-0.296	-0.271	2.086	1.018	0.853	1.851	2.456	2.27	0.797	0.738	1.244	2.927	-0.612	-1.342	-1.047	0.785	0.07	-0.35	-0.094	-0.528	0.005	0.365	0.21	-0.09	-2.17	-1.155	-1.427	-0.193	-1.018	-0.518	-0.126	-0.479	0.505	-0.643	-0.271	-0.723	-1.378	-0.557	-0.143	-0.256	-0.9	-0.27	-2.023	-3.261	-0.349	-0.343	-1.181	0.782	-1.31	0.46	0.413	0.067	0.534	-2.361	-0.982	-0.595	3.079	0.033	1.505	1.467	0.148	0.648	0.186	-0.951	0.377	-0.531	-0.158	0.191	0.417	0.307	-0.152	-0.18	1.071	-0.101	0.73	0.601	0.333	0.758	0.976	0.123	0.308	0.482	0.403	-0.201	0.563	0.564	2.383	1.729	1.539	-0.513	-0.725	-0.058	1.065
25800	"IMAGE:52933 || solute carrier family 39 (metal ion transporter), member 6 H29315 "	1.608	2.546	-1.699	-1.134	-1.197	-1.232	-2.461	-1.902	-2.471	-2.584	-1.978	-2.274	-0.292	-2.972	-2.137	-1.495	-1.695	-1.731	-1.197	-2.075	-1.198	-1.998	-1.843	-2.213	-2.095	-1.74	-0.24	-0.255	-1.46	-1.263	-1.677	-1.409	-1.744	-0.392	-1.95	0.357	1.906	-2.446	-2.944	-0.754	-0.68	2.142	0.429	0.124	0.733	-0.846	-0.485	-0.794	0.337	2.675	1.264	-0.353	0.458	2.099	2.528	0.746	3.338	2.336	-0.04	0.81	1.446	2.411	1.039	0.947	-0.134	-0.365	0.969	1.976	1.475	2.409	2.821	3.436	2.163	2.451	2.991	2.764	2.751	2.919	1.672	0.365	0.288	2.248	2.719	0.414	0.176	0.288	-0.329	5.138	1.164	1.638	0.898	0.552	-0.118	1.542	0.695
29028	IMAGE:204483 || PRO2000 protein H58234 	0.977	-0.471	-0.363	0.801	0.716	-1.31	-1.308	-0.117	-1.2	1.484	-0.281	-0.495	0.545	1.303	1.047	0.48	0.963	0.105	0.516	0.635	0.378	0.648	1.505	0.219	0.39	0.763	0.022	0.415	0.678	0.409	1.674	1.294	1.748	-0.382	-0.849	0.011	-0.329	0.648	-0.149	-0.464	1.093	-0.028	0.429	-0.604	-0.253	0.833	-0.288	-0.052	-1.052	-1.837	-0.714	-0.931	-1.559	-1.027	-1.228	1.344	-0.435	-1.472	0.23	0.255	-0.92	1.364	0.375	0.553	-1.07	-0.702	0.112	-1.146	-0.69	-0.83	1.314	-0.271	0.512	-0.361	0.679	-1.066	-2.439	-1.344	-0.592	-2.195	-0.907	0.234	0.047	-0.36	-1.527	-1.028	1.696	-0.706	-1.799	-0.882	-1.207	0.986	0.575	-0.004	0.208
29781	IMAGE:110744 || hypothetical protein 384D8_6 T83097 	0.054	-0.701	-0.179	-0.47	1.647	0.151	0.267	1.41	0.62	1.13	-0.689	-0.854	0.345	0.259	0.201	-0.515	-0.036	0.561	-0.069	-1.336	0.492	0.289	0.818	0.735	1.141	0.532	0.175	0.492	0.311	0.373	-0.102	-0.312	-0.304	-0.283	0.351	-0.079	-0.387	0.186	0.097	0.36	1.163	-0.2	-0.368	-0.628	-3.481	-0.549	0.515	-0.333	-2.037	0.513	-0.253	0.248	0.473	-0.692	-1.424	-0.278	-0.533	-0.595	0.75	-2.934	0.145	0.56	0.702	0.457	0.558	0.381	0.645	0.803	-0.495	0.926	-0.028	-0.639	0.121	0.212	-0.034	-0.923	-1.637	-0.774	0.682	0.525	-1.065	0.623	0.039	-0.416	0.555	-0.184	0.166	0.582	1.033	0.149	0.675	-0.166	-0.357	-0.783	-2.867
51313	IMAGE:307220 || hypothetical protein DKFZp434L142 N95180 	0.302	-0.778	-0.279	-0.459	-1.699	-0.327	-0.117	-0.614	-0.306	-0.068	-0.084	-0.734	0.557	-1.05	-0.812	0.388	-0.956	-1.537	-0.845	0.683	-0.847	-1.227	-1.441	-1.305	-0.995	-0.924	-1.527	-1.758	-1.093	-0.84	-1.41	-1.252	-1.31	-1.905	-1.212	-1.131	-1.331	-0.777	0.235	-0.164	0.696	1.01	0.667	1.593	1.608	-0.265	0.394	-2.805	0.111	0.309	0.465	-0.659	0.219	0.179	0.791	0.401	2.482	2.336	0.38	1.374	0.346	-0.081	1.078	1.831	1.154	1.991	1.675	1.63	1.51	1.217	1.236	1.512	1.322	0.936	0.64	0.376	0.839	1.004	0.002	0.389	0.43	-1.142	-0.74	0.636	1.577	-0.741	-0.698	-0.219	1.333	0.867	0.661	1.443	0.662	2.171	0.17
54069	IMAGE:344757 || chromosome 21 open reading frame 45 W72813 	-0.464	0.207	-0.229	0.204	1.03	0.733	-0.117	0.14	1.153	0.403	1.56	1.165	0.307	-0.271	0.279	-0.683	-0.477	0.377	0.644	0.79	0.11	-0.519	0.416	0.219	-0.488	0.162	0.132	0.195	-0.261	-0.139	0.901	0.423	-0.037	1.077	0.813	0.498	0.211	0.078	-0.886	0.344	0.416	-0.877	0.275	0.59	1.296	0.458	1.47	1.308	1.371	0.484	-1.188	0.173	0.458	0.58	-0.457	0.228	-0.659	-0.47	-0.06	0.449	0.94	-0.328	-1.496	-0.547	-0.293	-0.57	-0.584	-0.08	0.108	0.024	-0.123	-0.271	-0.336	-0.73	-0.481	0.309	-0.836	-0.489	0.04	-0.029	-0.068	-1.304	-0.945	0.432	0.214	-0.151	-0.089	0.342	0.05	-1.261	-0.287	-1.252	-0.443	-0.086	-0.298
55165	IMAGE:504308 || chromosome 10 open reading frame 3 AA131908 	-0.261	-0.599	-0.112	-0.769	-0.674	-1.077	-0.245	0.582	-0.149	-0.815	0.297	-0.306	0.607	-0.205	0.067	0.036	0.872	-0.002	0.572	0.181	0.45	0.942	0.898	0.724	0.909	1.148	0.902	1.248	0.063	0.301	1.044	0.442	0.87	0.653	0.56	0.588	-0.155	0.878	1.157	1.062	0.277	-0.925	-0.298	-0.067	0.17	0.626	0.97	-0.052	0.047	0.027	-0.158	-0.266	-0.872	-1.317	-0.751	-0.336	0.253	-0.495	-0.73	0.475	0.281	1.719	-1.09	-0.786	-1.091	-0.716	0.186	0.477	0.461	0.262	-0.672	-1.539	-1.287	-0.813	0.648	-1.066	0.028	-1.206	-0.903	0.43	-1.911	-1.477	0.53	-0.521	-0.618	-1.568	-0.145	-2.104	-0.411	-1.574	-0.301	-0.448	1.008	-0.482	-0.161
55536	"IMAGE:842896 || **dynein, axonemal, heavy polypeptide 11 AA486418 "	-1.568	-1.967	-0.73	-0.435	0.56	0.164	1.696	1.134	1.185	1.307	-0.242	0.036	-2.252	0.243	2.605	-1.311	-0.827	1.707	0.108	0.116	-0.6	1.961	1.112	-0.016	-0.964	-0.947	1.106	1.12	0.861	1.289	-0.818	-0.841	-0.106	-0.109	0.23	0.909	0.134	-1.266	0.128	1.137	-0.027	0.033	0.002	0.1	-0.756	-0.472	0.394	2.409	0.128	-1.678	0.112	-0.585	2.564	2.099	0.42	-0.382	0.463	-0.47	1.359	1.119	-0.961	0.373	-0.367	-0.164	-0.517	-1.521	0.33	-0.675	0.438	0.264	-0.184	-1.443	-0.107	0.062	-0.692	-0.082	-0.001	0.778	0.276	-0.657	0.446	2.378	0.496	0.667	2.05	0.963	0.889	-1.067	0.189	-0.086	-2.851	-0.535	-1.288	0.12	-0.862
56204	IMAGE:277808 || hypothetical protein FLJ10980 N45467 	-0.228	-1.392	-0.029	0.757	0.528	1.225	-0.392	0.195	2.801	-0.442	1.113	2.107	1.269	-0.072	0.479	-1.036	-1.371	0.085	-1.573	-2.062	-2.083	-1.07	-1.183	-1.327	-1.894	-1.663	-2.136	-1.342	-1.06	-0.714	-1.209	-0.743	-1.359	-2.384	0.483	-1.092	-1.504	-0.112	0.158	1.249	-1.567	-0.987	-0.187	-0.724	-1.037	-1.492	-2.046	-0.221	-1.552	0.762	0.383	0.157	-0.842	-0.647	0.254	-0.324	0.267	1.284	1.849	0.299	1.346	0.697	0.583	1.007	1.079	0.879	-0.148	-0.224	0.366	0.313	2.281	1.197	1.426	1.509	0.789	0.712	0.279	-0.077	0.521	2.58	1.64	0.602	0.814	0.525	1.482	1.182	2.376	0.865	1.896	2.591	2.305	1.79	2.113	3.183	1.104
83464	IMAGE:264868 || anterior pharynx defective 1B-like N21153 	-1.083	-0.343	-0.914	1.155	-0.664	0.966	-0.758	-0.743	-1.326	-0.363	0.968	0.549	-1.178	-1.613	-1.246	2.118	0.068	-0.779	-0.877	-0.605	-0.126	-0.473	-0.709	-0.621	-0.456	-0.472	-0.181	-0.434	-1.449	-0.957	-0.579	1.167	0.89	-0.12	-0.343	-0.746	-0.733	0.295	-0.287	0.145	-0.003	2.158	-2.285	-0.222	0.06	-2.409	-0.606	0.566	0.677	0.027	0.194	0.233	0.458	0.647	0.705	0.654	0.429	0.557	0.02	0.528	0.41	0.672	0.603	-0.021	2.079	2.342	0.259	0.535	1.342	0.421	1.95	0.743	2.089	1.954	1	0.694	0.255	1.898	0.191	-0.509	0.444	-0.081	-0.62	0.292	0.725	1.132	-0.556	0.487	0.395	0.397	0.675	0.812	2.092	-0.209	0.053
400043	"IMAGE:757489 || **tubulin, alpha 2 AA426374 "	1.157	-0.215	0.021	-0.271	0.465	1.393	0.945	0.122	-0.479	1.15	0.205	-0.015	-0.354	-0.718	0.201	-0.898	-1.293	-0.595	-0.317	-0.636	-0.435	-0.896	-0.459	-0.991	-0.424	-0.801	-0.274	-0.739	-0.369	-0.068	-0.856	0.236	-0.333	-0.107	0.098	-0.361	-0.406	-0.302	-0.026	0.313	0.72	0.051	0.401	-0.115	-0.756	-0.2	-0.152	-0.872	-1.084	-0.059	-0.646	0.611	0.129	-1.786	-1.559	0.447	-0.14	-0.345	0.74	1.198	0.41	0.915	0.633	1.078	0.388	-0.146	0.09	-0.051	0.241	0.271	0.269	0.192	0.121	0.084	0.757	0.424	0.238	0.385	0.729	1.361	0.446	-0.784	1.282	1.472	1.255	-0.269	0.025	-0.266	0.789	0.645	0.493	-0.557	-0.292	-0.687	1.435
