CLID	NAME	Ca6687 || Present	Ca7367 || Present	Ca9079 || Present	Ca7845 || Present	Ca7722 || Present	Ca7589 || Present	Ca7102 || Present	Ca7811 || Present	Ca11460 || Present	Ca7422 || Present	Ca7493 || Present	Ca8196 || Present	Ca9298 || Present	Ca7732 || Present	Ca7246 || Present	Ca6537 || Present	Ca6388 || Present	Ca8610 || Present	Ca7921 || Present	Ca6257 || Present	Ca8212 || Present	Ca6716 || Present	Ca6014 || Present	Ca7549 || Present	Ca8560 || Present	Ca6144 || Present	Ca7604 || Present	Ca10289 || Present	Ca7357 || Present	Ca8401 || Present	Ca11620 || Present	Ca11442 || Absent	Ca7244 || Absent	Ca11829 || Absent	Ca9909 || Absent	Ca7495 || Absent	Ca7461 || Absent	Ca6125 || Absent	Ca8237 || Absent	Ca10960 || Absent	Ca6042 || Absent	Ca7106 || Absent	Ca7982 || Absent	Ca7214 || Absent	Ca6474 || Absent	Ca6464 || Absent	Ca6188 || Absent	Ca8333 || Absent	Ca6061 || Absent	Ca6366 || Absent	Ca7408 || Absent	Ca6617 || Absent	Ca9126 || Absent	Ca8582 || Absent	Ca9174 || Absent	Ca8174 || Absent	Ca11205 || Absent	Ca10109 || Absent	Ca9539 || Absent	Ca6318 || Absent	Ca9795 || Absent	Ca6146 || Absent	Ca6012 || Absent	Ca13351 || Absent	Ca6206 || Absent	Ca6219 || Absent	Ca10419 || Absent	Ca10481 || Absent	Ca11379 || Absent	Ca6165 || Absent	Ca11570 || Absent	Ca11968 || Absent	Ca10591 || Absent	Ca7609 || Absent	Ca6110 || Absent	Ca9159 || Absent	Ca6021 || Absent	Ca8173 || Absent	Ca9765 || Absent	Ca7366 || Absent	Ca7151 || Absent	Ca10335 || Absent
26123	C10orf61	-0.06526	-0.2825	-0.297	-0.3395	-0.5704	-0.1013	0.6861	0.2573	-0.4129	-0.3843	-0.3626	-0.0519	-0.4413	0.01626	0.09017	-0.2009	-1.386	-1.18	-0.599	0.1068	-0.4106	0.02979	-0.4762	-0.7751	-0.2772	-0.5556	-0.7763	-0.1873	0.5262	-0.5929	-0.2079	-0.1753	0.4846	0.09081	-0.5315	-0.0745	0.1039	0.3516	-0.3036	0.07495	0.3408	0.2255	1.092	0.7261	0.2549	0.1142	0.1241	-0.2669	0.6674	0.7192	0.1803	0.2478	0.6172	0.09858	0.3745	0.5046	0.4835	-0.09903	0.05931	0.234	0.1078	0.7687	-0.1232	2.37E-08	0.4084	0.1408	0.2194	-0.3007	0.1706	-0.1456	-0.1159	-0.3022	0.9665	0.3152	-0.1784	-0.03053	-0.2868	0.03978	0.006517	-0.2799	-0.3606	-0.4342
11257	TP53AP1	-0.268	0.3602	-0.01564	-0.2356	-0.09023	-0.01965	-0.02441	-0.622	0.7103	-0.6728	-0.9124	-0.6942	-0.9491	-1.093	-0.7926	-0.3725	-0.9699	-0.6085	-0.8987	-1.215	-0.6865	-0.7028	-0.3512	-0.3087	5.77E-09	0.03134	-0.9887	-0.3202	-0.5114	-0.3515	-0.2599	0.5046	0.00189	-0.3275	-0.2258	0.3676	-0.09943	0.1816	-0.04586	-0.2879	-0.2596	0.4135	0.2154	-0.06117	-0.7226	0.06908	0.126	0.1509	0.5685	0.3413	0.3573	0.6457	0.3388	-0.1287	-0.5352	-0.2505	0.4945	0.1321	0.08415	0.01779	-0.09932	0.1213	0.1476	0.3816	-0.4371	0.6132	-0.08919	-0.5746	0.02063	0.4276	-0.1043	0.8724	1.722	0.6206	-0.3809	1.084	-0.1834	0.4003	0.3583	-0.2009	-0.07943	0.4071
140459	ASB6	0.1091	-1.325	-0.5764	-0.6208	-0.5899	-0.4155	-0.2174	-0.6039	0.7177	-0.531	-0.4788	-1.01	-0.834	0.02539	-1.693	-0.3746	-0.7402	-1.08	-1.296	-1.57	-0.3706	-1.68	-1.284	-0.1918	-0.7504	-1.326	-0.7541	-0.8511	-0.2652	-0.421	-0.1069	0.6329	0.3527	0.1266	-0.8016	-0.5444	0.1369	0.0007258	0.8107	0.5359	-0.05388	-0.0349	3.74E-08	0.002391	-0.5321	0.361788	0.6032	0.3116	0.5877	0.181	0.302	0.8333	0.6015	0.2933	0.2957	1.318	1.338	0.6147	1.438	0.7268	0.6129	0.3385	0.6499	0.5244	0.1274	0.01014	0.859	-0.3588	0.125	1.703	0.5145	-0.5223	0.4415	0.6691	-0.3861	-0.1933	-0.1619	0.3361	1.09	-1.123	-0.1911	-0.4473
7284	TUFM	-0.323	0.2858	-1.025	-1.688	-0.2884	0.1549	0.1124	0.2952	1.011	-0.44536	-2.56	-0.2216	-1.298	-1.17	-1.144	-2.473	-3.746	-4.566	-2.664	-2.887	-2.209	-2.549	-1.942	-0.674	-4.287	-1.791	-1.32	-0.6301	0.002306	-0.6103	-1.373	0.2298	-0.5823	-0.3651	0.5142	0.1546	1.489	1.062	-0.2178	-0.167	1.232	1.348	0.7394	0.2047	-0.7616	0.4878	-0.6218	0.8983	0.5136	0.9975	0.6034	1.423	0.1914	0.7096	-0.085239	-0.5131	1.155	0.4766	1.479	0.7986	1.258	0.4655	0.9968	-0.4655	-0.4207	0.5912	0.646	-2.652	0.7685	1.51	0.0691	0.7444	-0.01931	1.693	0.8176	-0.4893	-0.09349	0.6539	-0.1208	-0.2711	-0.216493	-0.4932
1186	CLCN7	0.08924	-0.5926	-0.07432	-0.1034	-0.3304	-0.1328	-0.7316	-0.3741	0.04348	-0.1169	0.6178	-0.3518	-0.2522	-0.6578	-0.6947	-0.7227	-0.7132	-1.65	-1.431	-0.9714	-0.6599	-0.9109	-0.6672	-0.3544	-1.256	0.5755	0.2845	-0.4256	0.3061	-0.9412	-0.3982	-0.476	0.6263	-0.3165	0.04484	0.04743	0.8175	0.7267	-0.133	-0.02871	-1.24	-0.6199	0.8677	0.4741	0.1161	-1.154	0.5223	0.6867	0.6909	0.3524	-0.7386	0.07791	0.3686	-0.04579	-0.06878	0.9386	1.646	1.328	1.341	0.7428	0.5246	0.6497	0.1479	-0.4163	-0.1698	0.04137	0.2826	0.06366	0.3582	1.405	0.9602	0.2879	0.09384	0.3086	0.4356	-1.035	-1.262	-0.1873	0.1893	-0.5361	-0.2465	0.04764
8848	TSC22D1	0.4286	-0.5241	-0.3618	-0.212	-0.6206	-0.2786	-0.8207	-0.1899	0.0424	-0.9045	0.7596	-0.5017	-0.3306	-0.4934	-1.081	-0.4905	-0.4585	-1.609	-1.393	-0.9291	-0.8113	-0.9866	-0.5812	-0.5697	-1.589	0.3186	0.2606	-0.6032	0.4151	-0.6406	-0.5118	-0.731	0.6241	-0.1009	-0.0836	1.22E-08	0.7486	0.9278	-0.131	0.2612	-1.134	-0.5202	1.268	0.4705	0.2523	-0.9077	0.9482	0.746	0.3022	0.3344	-0.7677	0.0699	0.0351	0.0642	0.0437	0.9591	1.601	1.563	1.443	0.7996	0.5866	0.7702	0.1888	-0.2184	0.0823	-0.0825	0.0674	0.0832	0.4073	1.354	0.7736	-0.0226	-0.3137	-0.2233	0.6183	-1.05	-1.083	-0.235	0.3152	-0.6715	-0.8257	0.0101
10540	DCTN2	0.1054	-0.5748	-0.3009	-0.204	-0.269	-0.4419	-1.053	-0.0411	0.02189	-0.6856	0.9789	-0.46	-0.2788	-0.6074	-0.9758	-0.6153	-0.6816	-1.774	-1.487	-1.05	-0.806	-1.064	-0.8549	-0.4664	-1.507	0.4442	-1.17E-09	-0.3583	0.6008	-0.6925	-0.4572	-0.5966	0.5575	0.0402	-0.07121	0.1488	0.8795	0.7511	-0.2976	0.2637	-1.239	-0.4682	1.234	0.3075	-0.1106	-0.5931	0.6043	0.5668	0.3163	0.4564	-0.7443	-0.05696	0.2142	0.05795	0.09829	0.8292	1.891	1.627	1.583	0.9718	0.6549	0.5363	0.1613	-0.2469	-0.02691	-0.2843	0.1463	0.3876	0.2733	1.247	1.182	0.4808	0.1233	0.2442	0.6571	-1.027	-1.268	-0.1312	0.1665	-0.7353	-0.7386	0.04373
1848	DUSP6	1.491	-1.465	0.3358	0.1771	-0.781	0.0383	-0.5295	1.491	-1.357	0.0023	-0.4343	-1.718	-1.105	-1.146	-1.519	-0.2383	-1.823	-2.745	-1.572	-0.2509	-1.333	-1.632	-1.165	-1.222	-2.43	-0.5876	0.7137	-0.4285	0.4168	2.39E-08	-0.5661	0.195	-0.1882	-0.8316	-0.5894	-0.3629	0.4014	-0.0913	-1.291	-0.4186	-0.448	0.2061	0.4048	1.351	-0.7587	0.7291	-0.1004	1.558	0.0659	-0.2482	-0.0675	0.197	0.3433	0.3833	1.174	0.9759	-0.0915	0.8579	0.8432	1.51	0.0772	2.101	0.9371	1.617	1.326	0.2562	-0.1958	0.2815	1.171	1.223	0.8143	-0.343	0.8141	-0.1328	0.0176	-1.275	-1.12	0.6936	0.4393	-0.9293	-0.2018	0.4611
10206	TRIM13	0.2468	0.0376	-0.148	0.0015	-0.1923	-0.1112	-0.4586	-0.1883	-0.6783	-0.2829	-0.5155	-1.435	-0.5742	-0.3001	-0.2685	-0.5719	-0.5485	-1.17	-0.9091	-0.4589	-0.3866	-0.4429	0.1465	-0.6783	-1.424	-1.159	-0.6916	-0.3455	0.3846	0.0273	-0.5559	0.0628	0.1339	-0.0535	-0.3023	-0.4534	-0.1184	0.4511	0.1986	0.2205	-1.243	0.0198	0.1114	-3.29E-09	0.2865	-0.0253	0.0416	0.3077	0.4286	0.3432	-0.3194	0.1841	0.1463	0.4298	0.0146	-0.0095	-0.004	0.0729	0.2987	0.1079	0.0067	0.4306	0.0805	0.2012	0.2106	0.0328	-0.5516	0.2806	0.0279	0.7487	0.1867	0.3208	-0.651	0.4575	0.0034	-0.3475	0.1152	0.242	-0.1064	0.1939	0.8817	0.2737
5797	PTPRM	-0.3739	-0.5998	0.2647	-0.1243	-1.136	-0.1893	0.2085	-1.168	-1.43	-0.8069	-1.091	-1.739	-0.2765	-0.2437	5.46E-09	-0.5878	-0.0044	-1.218	-1.254	-0.1049	-0.1498	-0.893	-1.226	-1.083	-1.785	-1.418	-1.818	0.0087	-0.976	-0.2788	-0.4067	-0.1327	0.3836	0.1458	-0.0194	-0.1368	0.1334	0.4544	-0.0328	0.8633	-0.4013	0.2556	1.185	0.4222	1.558	0.6675	-0.3104	1.011	0.1347	-0.017	1.202	0.3246	0.4262	0.3229	0.5964	0.6075	0.2458	0.7342	0.3971	-0.1463	0.5843	0.2302	0.6257	0.6737	0.2128	0.4863	0.217	0.9547	0.1921	0.2058	-0.2453	-0.3406	0.5605	0.582	0.0845	-1.228	-0.3298	0.291	-0.5288	-0.765	0.443	0.3379
2331	FMOD	-1.02	-1.832	-0.2243	0.5342	-0.2187	0.5896	0.5626	-0.8956	-2.392	-0.5972	-0.04261	-0.6626	-0.38085	-0.472425	-1.876	-0.3204	-0.86	-0.90739	-0.6928	-0.5126638	-2.253	-1.63	-1.761	-1.959	-2.63	-0.5112	-0.482433	-0.298866	1.264	-0.4433	-0.4045	1.342	0.6195	-0.2604	-0.5765	-0.4686	3.712	0.6477	-0.06119	1.045	-0.9831	0.4794	3.393	0.8734	-0.5008	-0.082544444	0.30947	0.1906	1.428	1.232	0.1675	1.841	2.202	1.761	1.038	1.566	-0.6694	-0.0005885	0.8702	0.1203	0.7454	1.568	0.1344	-0.010259998	0.566	0.25	2.644	0.4776	1.386	0.2254	0.12237	0.4826	0.038414	0.20922	-0.1048	-2.595	-0.2338	0.4096	-0.0288216	-0.57594	0.6088	1.059
1311	COMP	-0.7221	-2.205	0.7562	1.924	0.01159	-0.7433	-0.1142	-0.481	-0.3847	-2.997	-0.2601	-1.377	-0.6356	-0.801941	-2.473	-0.001276	-2.857	-0.83526	-1.684	-0.4091	-1.811	-1.807	-2.095	-1.244	-2.471	-0.9385	-0.79366	-1.095	-0.898793	-0.46093	-0.02601	-0.07347	0.014229	0.5965	0.9217	0.9424	0.8407	0.2197	0.282074	0.4036	1.081	1.034	0.107783004	0.4448731	-0.2057	0.1237	0.3052	-0.084	-0.9308	-0.657	1.545	-0.05358	3.014	1.807	-1.77	0.1939	0.8823	0.448928	0.9997	-0.3463	1.792	-1.387	0.001276	0.21234	2.137	0.8788	1.387	1.166	0.4548	1.297	-1.263	0.8067	1.265	1.472	-0.2671	-0.1909	1.348	1.575	0.3183	1.896	0.164537	-0.1558
221981	THSD7A	-0.08033	-0.5271	0.5889	0.4037	-0.9843	0.0909	0.1672	-0.8686	-0.5539	-0.05317	0.07373	-0.3048	0.4472	-0.1351	-0.5724	-0.8547	-0.7599	-0.6125	-0.3492	0.04257	-0.4421	-0.4567	-0.5845	-0.177	0.5575	-0.5696	0.1432	0.3852	-0.05001	-0.5453	-0.4868	-3.50E-10	-0.2099	-0.1134	0.5589	0.04849	0.02598	0.2411	-0.117	0.01971	-0.3938	0.08543	0.7164	1.059	-0.1623	-1.007	-0.399	-0.1964	0.1653	0.5503	0.2125	0.872	1.017	0.5798	0.3039	1.646	0.9753	0.9426	0.9521	0.644	0.2581	-0.2008	-0.5008	1.223	-0.306	0.1072	0.5158	0.6994	1.26	0.2427	0.4229	0.2316	0.6772	0.23285	0.5651	-0.2161	-0.5996	0.09849	0.3992	-0.09374	0.15697	-0.3261
374868	ATP9B	-0.3659	-0.2085	-0.3859	-0.5717	-0.1393	0.003833	0.09024	-0.4744	-0.5422	-0.1151	-0.414	-0.5238	-0.1884	0.2639	-0.4941	-0.5747	-0.4479	-0.7604	-0.05515	-0.6394	-0.2308	-0.5987	0.07928	-0.3405	-0.7445	-0.08913	-0.26	0.2256	0.09931	-0.5408	-0.5948	0.7123	-0.3486	0.4734	-0.2996	0.06418	-0.09673	-0.0949	-0.2194	-0.02893	0.8061	0.323	0.1994	0.2806	0.2031	-0.1375	0.04353	0.2701	0.5634	0.6715	0.3468	0.4023	0.2027	-0.2057	0.2134	-0.1401	0.5678	0.4451	0.2952	1.16E-08	-0.1053	-0.2494	0.7469	0.3902	-0.01398	-0.0489	0.3029	0.9755	0.1239	0.2476	-0.1386	0.06672	0.5701	0.1717	-0.1394	0.7096	0.1637	0.7446	0.3665	0.1742	0.2115	-0.3063
84942	WDR73	0.1042	-0.2781	-0.279	-0.4323	-0.34	-0.6189	-0.1784	-0.3764	-1.249	-0.1678	-0.4782	-0.4529	-0.7881	-0.6312	-0.4162	-0.6604	-0.633801	-0.2151	-0.4424	-0.1761	-0.4221	0.01232	-1.168	0.1148	0.1532	-0.9588	-0.5928	0.246	0.04857	-0.1556	-0.7172	0.791	0.05366	0.1403	0.1386	-0.2177	0.1218	-0.08808	0.1075	-0.3037	0.1059	0.4465	-0.04297	-0.03419	0.5748	-0.155	-0.04238	0.4829	0.2825	0.4022	0.7183	0.2959	-0.1975	0.1458	0.17	0.1416	0.4808	0.7465	-0.05797	-0.5884	-3.52E-09	-0.36	0.1352	0.2718	-0.1365	0.2016	0.1086	-0.1114	-0.1454	0.07543	0.2047	0.5026	0.4138	-0.3595	-0.1815	0.2314	0.5804	0.506	0.9234	0.4874	0.2564	-0.186
23613	ZMYND8	-0.1692	0.2788	-0.8388	0.108	1.452	-0.8419	-1.382	-0.3087	0.3005	0.3926	-1.852	-1.719	-0.478	-0.9065	-1.801	-0.2506	0.6142	-1.182	-0.0605	-0.1932	-1.017	-1.292	-0.9224	-0.0392	-0.17	-0.0281	-1.876	-0.229	-0.7047	0.4973	-1.151	0.0258	-0.1121	0.6154	-0.9204	-1.044	-0.7713	-0.4257	-0.1275	-2.117	-0.1066	-0.5132	0.1415	0.915	0.4408	0.2278	0.7238	0.1723	0.582	0.2562	1.003	1.169	0.3004	0.3866	0.6901	5.63E-09	0.4631	0.7424	-0.1762	0.3535	-0.591	-0.7835	0.0584	1.43	-0.3714	0.11	0.2506	0.8274	0.2526	0.3864	-0.227	-0.1149	0.2855	0.8545	-0.1889	1.194	0.9009	0.7505	2.049	2.523	0.7286	-0.2958
1889	ECE1	-0.8652	-0.58	-0.4119	-0.1679	0.3736	-1.362	-0.1565	-0.2133	0.4992	-0.4336	-1.271	-1.724	-1.292	-1.316	-0.7264	0.1668	1.379	0.2675	0.1398	-0.0765	-0.3744	-1.41	-1.165	-0.7825	0.2313	-1.736	-1.785	-0.2177	-1.265	-0.7656	-0.7291	0.3501	-0.6729	-0.5133	-0.0449	-0.2173	-0.9573	-0.6022	0.2538	-0.7046	0.879	1.469	-0.0264	1.59	2.084	1.85	1.904	-0.1874	-0.1586	0.4691	0.5609	1.09	0.1084	0.2079	1.077	0.0967	1.829	-0.0084	0.1662	-0.0123	-0.9375	-0.7954	0.7835	1.801	0.2177	0.1185	0.1463	0.5789	0.3605	0.4228	0.1812	-0.202	0.3689	0.9288	-1.134	1.57E-09	0.7088	0.6272	0.9511	0.5957	-0.2167	-0.3123
4629	MYH11	-0.9125	-0.7664	-0.9746	-2.21	-0.3269	-0.9406	-1.063	0.0142	0.7834	-0.4866	-2.062	-1.669	-1.33	-2.292	-1.97	0.6648	0.6687	-0.24	-0.0518	-0.605	-0.8184	-1.926	-0.8775	-0.3816	-0.5557	-1.67	-1.42	-1.806	-2.981	-1.348	0.5	-0.1318	-0.7884	-0.619	0.7426	-1.552	-0.9284	-1.048	1.423	-0.1669	1.386	-0.6713	1.475	3.386	1.009	0.9684	1.383	0.858	0.7597	-0.2408	1.619	2.858	-0.1403	1.187	2.684	0.9658	1.082	2.107	1.924	1.046	-1.635	-2.48	0.9774	1.561	0.6573	3.82	1.527	0.5541	1.713	0.3818	-0.1107	0.1743	-0.2676	0.9539	0.2068	-0.4957	0.8848	0.395	0.8041	0.1312	0.4968	-0.3923
5094	PCBP2	-0.4561	-0.1385	-0.7995	-0.3623	-0.2615	-0.1744	-0.4836	0.3441	0.1463	-0.7787	-0.7248	-0.3666	-0.085	-0.5122	-1.445	-0.6054	-0.5906	-0.1775	-0.4264	0.3382	-0.5032	-0.8144	0.0563	-0.3626	0.6594	-0.9073	0.1015	-0.0476	-0.5644	0.7502	0.1688	0.1181	-0.1223	-0.4703	0.2673	-0.542	-0.0316	-2.76E-08	-0.2132	0.3631	0.4441	0.0489	-0.8558	0.4212	0.824	0.484	0.8005	-0.0159	0.2832	0.2893	0.2539	0.4494	0.1586	0.2401	0.4544	-0.1989	0.1858	0.0166	-0.2524	0.3565	-0.4162	-0.5892	0.5386	0.539	0.2331	0.1735	-0.083	-0.0055	0.0459	-0.3411	0.1664	0.7094	0.2772	-0.0368	0.1912	0.3399	-0.0777	0.1263	0.0877	-0.1171	-0.0309	-0.0816
4038	LRP4	-0.030441	-0.2225	-0.352	-0.5929	0.2572	-1.152	-0.6483	0.7876	0.1471	0.009916	-1.085	-0.306	0.3886	-0.2626	-1.381	1.056	0.3957	0.1041	0.9686	-0.09188	-0.4029	-0.1716	-0.361	-0.03641	0.9987	-1.092	0.08499	0.4428	-1.056	0.4042	-1.021	-0.2867	0.058426	-1.467	-0.2771	-0.3118	-0.1809	-0.742	-0.20922	-0.9307	0.3444	0.1754	0.212883	2.093	0.4132	0.5426	0.2901	-0.0286	-0.3555	0.3723	1.861	1.01	0.07575	-0.1849	0.2646	0.6188	0.173	-0.03693	-0.6522	-0.002395	-0.5178	-0.196	0.07348	0.2733	0.4261	0.5753	-0.05224	0.7513	-0.2925	1.367	-0.2476	1.113	-0.3735	1.011	0.3306	-0.07936	0.6598	1.368	0.35838	1.003	0.5334	0.8475
6302	TSPAN31	0.02193	-0.4873	-0.1985	0.08752	0.1795	-0.4184	-0.4243	-0.4706	-0.07677	0.0277	-0.236	-0.4604	-0.8876	-0.4845	-1.105	-0.3959	-0.413	-0.9234	-0.4167	-0.4939	0.07735	-0.4595	-0.5366	-0.9376	-0.1951	-0.2965	0.5054	0.3431	-0.48	-0.3031	-0.605	-0.3429	-0.2199	-0.1591	-0.08601	-0.1303	0.219	0.02991	-0.1183	-0.4369	0.247	0.21	0.9458	0.5792	0.3206	0.1392	0.09207	-0.3892	0.07878	0.0834	1.037	0.5665	0.212	-0.05718	0.2494	-0.3105	0.5939	0.01418	0.207	-0.1642	-0.3226	0.0978	-0.4282	0.9385	0.3975	0.2095	-0.1506	0.1681	-0.05819	0.7759	0.6003	0.6371	0.5183	1.383	0.08738	0.8265	0.3321	0.4573	0.7028	0.5486	0.6432	0.08113
50861	STMN3	-0.6302	-0.7745	-0.6424	-0.5298	0.5789	0.8825	1.842	-0.7614	-1.617	0.02758	-1.093	-1.827	-0.4806	-0.1486	-1.18	-1.177	-0.2509	1.661	-0.2089	-0.6996	-0.8052	-0.7618	-0.6349	0.0194	-2.253	-1.013	-2.103	-0.5663	-0.1968	-0.5535	0.0727	1.09E-09	0.4104	-0.6417	-0.6049	0.03967	0.3832	-0.7224	0.6621	-0.1526	1.382	-0.3415	0.4063	0.2015	2.51	1.969	0.1967	0.006789	-0.039	0.4263	0.9822	0.1224	-0.2487	0.2159	1.454	0.4893	-0.4276	-0.2285	-0.3114	0.1152	-0.1945	0.759	1.459	0.4175	0.3341	-0.3761	0.0635	0.4979	0.2515	0.2562	1.395	1.082	1.263	1.594	1.691	0.3738	0.102	-0.06318	0.424	1.166	1.452	-0.841
400924	LOC400924	0.2621	-0.5776	0.07081	1.033	0.217	-0.4771	0.1166	0.1123	-0.8524	-0.1619	-0.4225	-0.9678	-0.359	0.6512	-0.7306	-0.5919	0.1728	-0.7189	-0.3029	-0.1689	-0.06736	-0.3868	-0.1758	-0.1619	-2.22E-08	-0.4154	0.2319	-0.3918	-0.04227	-0.250813	-0.08374	-0.2723	-0.4195	-0.3691	0.1312	-0.6144	-0.09885	-0.06122	0.07844	-0.1004	0.297	0.3585	0.6138	-0.2217	-0.2466	1.204	0.2934	0.3226	0.416	0.8976	-0.2524	0.6298	-0.02472	-0.006867	-0.1046	0.2206	0.02567	0.1287	0.279	0.1466	0.3648	-0.01765	0.8404	0.6645	0.2648	-0.2533	0.7427	0.1378	0.273	-0.08403	-0.002333	-0.0568	-0.32	0.9629	0.6638	-0.2043	0.3103	-0.1951	0.7511	-0.6518	0.4878	0.3956
3705	ITPK1	-0.0525	0.1122	-0.2729	-0.3052	0.3968	0.039	0.1452	-0.3462	-0.8576	-0.1222	-0.7094	0.1653	-0.0284	-0.1163	-0.9049	-0.6005	-0.2981	-0.5034	-0.4623	-0.3521	-0.0419	-0.5052	-0.1277	-0.1479	-0.0966	-1.013	-0.1066	-0.4136	-1.157	0.6953	0.1014	0.3438	0.2958	-0.164	0.043	0.0649	-0.1637	0.2738	-0.5633	-0.2867	0.8553	-0.0883	-0.4864	0.0172	1.14	0.1504	0.557	0.2063	0.3906	0.5132	0.5624	0.5407	0.2385	0.1705	0.4446	-0.0755	-0.3871	-0.0022	-0.2691	0.0187	-0.2827	-0.3608	0.489	0.1548	0.2338	0.3509	0.43	-0.2406	0.0793	-0.1233	0.091	0.1804	0.2271	0.1907	0.7584	0.6523	0.6997	0.6587	0.3136	0.3335	-0.1441	-0.2299
9252	RPS6KA5	0.2224	-0.4697	-0.4537	-0.9912	0.0315	-6.82E-09	-0.1664	0.08	0.7632	-0.3053	-1.085	-0.0442	0.1525	-0.2631	-0.3126	-0.9951	-0.8471	-1.659	-0.8723	-0.0519	-0.0952	-1.59	-0.4166	-0.518	-0.4989	0.2596	0.2858	-0.6277	-0.2822	-0.2439	-0.0745	0.6678	0.326	0.6903	-0.0929	-0.3711	-0.7159	0.58	-0.6294	0.2473	0.9296	-0.3914	-0.355	-0.7578	0.1766	-0.827	1.258	0.6718	0.9368	0.9607	0.8988	-0.0423	-0.9307	0.9469	-0.7459	0.1034	-0.9496	0.6948	-0.7051	0.5386	0.323	1.248	-0.0162	-0.92	0.555	0.4547	0.8896	-0.2058	0.6068	1.806	0.0522	-0.3531	0.3439	-0.2522	0.9041	0.3925	0.9473	0.7648	0.4401	0.3087	0.8918	0.2137
10975	UQCR	-0.356	0.511	-0.1535	-0.4067	0.233	-0.2134	-0.7657	0.5232	-0.9511	0.073	-0.5427	-0.1116	0.0217	0.6784	-0.1098	-0.1671	-0.4791	-0.3658	0.1872	-0.6917	-0.8993	0.2413	0.4227	-0.7629	0.1491	-0.1538	-0.1677	-0.1711	-0.3279	-0.4424	-0.0268	0.7575	-0.2656	0.0437	-0.7269	0.1991	0.2054	-0.1455	-0.3411	-0.0685	0.9484	0.3841	0.2318	0.2569	0.6485	0.2054	-0.4403	0.1437	0.0684	0.7021	0.3563	0.4442	0.2383	-0.7937	0.1262	-0.0266	0.7822	-0.133	-1.248	-0.1778	-0.5019	-0.0146	0.4373	-2.85E-09	-0.0306	-0.0289	-0.5726	-0.3544	0.1569	-0.0576	0.6338	0.4726	0.4558	0.7831	0.0726	0.8412	0.058	0.4022	0.5372	-0.192	0.4259	0.1969
54531	MIER2	0.4712	0.3156	0.1634	-0.05411	-0.2062	-0.3136	0.006951	0.08749	-0.3418	0.2199	-0.5513	-0.6505	-0.3848	0.2826	-0.5406	0.3426	-0.09541	-0.2284	-0.3553	-0.2404	0.06724	-0.3107	0.04394	-0.5248	0.1369	-0.1542	-0.1306	-0.2593	0.3094	-0.3197	-0.5761	-0.05556	0.1695	0.3655	-0.2645	-0.1135	3.53E-09	-0.4582	-0.6659	-0.6337	0.1105	0.09324	0.5733	-0.04012	-0.1588	-0.2367	-0.306	0.06846	-0.4969	-0.001402	0.0896	0.08825	0.04835	-0.07113	0.07702	-0.2311	0.1781	0.2083	-0.4734	-0.5257	-0.1089	-0.512	-0.337	0.5992	0.2196	-0.1262	0.07973	0.3603	-0.09474	0.4493	0.3261	0.1575	0.2843	0.7132	-0.3532	0.1637	0.09235	0.2567	0.6317	0.4926	0.3522	-0.3352
2767	GNA11	-0.1994	-0.6226	-0.4223	-0.005848	-0.4863	-0.6533	-0.1209	0.1062	-0.7453	0.8612	-0.3402	-0.108	-0.04392	0.3385	-0.5856	0.01286	-0.484756667	-0.3193	-0.4966	-0.7909	-0.1995	-0.06906	0.4814	-0.1929	-0.1814	-0.06674	-0.2239	-0.2201	-0.03326	-0.8283	-0.4366	0.3411	-0.2544	0.05759	-0.06236	0.1075	0.2913	-0.4509	-0.7033	-0.05691	-0.1548	0.1696	0.8716	0.005847	0.1582	1.151	-0.1687	0.2626	-0.1991	0.8952	0.3622	0.1519	0.04334	0.2762	0.3666	0.1708	0.526	0.5605	-0.2892	0.02243	0.2748	0.01603	-0.1667	0.3543	0.07871	-0.02244	0.6076	0.3858	0.3747	0.2003	0.426	0.2955	0.8281	0.8917	0.3318	-0.04278	-0.1528	0.5792	0.5971	-0.565	-1.013	-0.6707
51028	VPS36	-0.0771	0.4907	0.1156	-0.084	0.1104	-0.1457	-1.133	-0.1274	-0.1116	0.3387	-0.1085	-0.0165	-0.1647	-0.4051	-0.0545	0.048	0.3285	-0.5595	-0.3099	-0.035	-0.3733	0.0245	0.3902	-0.2422	0.1268	-0.5932	-0.5188	-0.5786	-0.0346	0.1516	-1.74E-09	-1.883	0.0787	0.0085	-0.5737	-0.3747	-0.2185	-0.0511	0.17	-0.1511	-0.6025	-0.3916	0.0496	0.5808	0.1843	0.3749	0.3282	0.6618	0.3749	-0.673	0.1305	0.4431	-0.1344	-0.1835	0.0559	0.2985	0.2391	-0.1652	-0.2362	0.0747	0.0499	0.0211	-0.0657	0.2086	0.2749	0.0882	-0.5301	-0.8594	-0.4218	1.11	0.632	0.235	-0.9988	0.9055	0.1032	-0.1602	-0.1471	0.0095	0.2133	0.4686	-0.6971	0.4883
